"ch"	"age"
"1100000"	"A"
"1000000"	"A"
"1110000"	"A"
"1000000"	"A"
"1100000"	"A"
"1010000"	"A"
"1010000"	"A"
"0010000"	"A"
"1101000"	"A"
"0010000"	"A"
"0010000"	"A"
"1000100"	"A"
"0010000"	"A"
"0010000"	"A"
"1000000"	"A"
"0101110"	"A"
"1111110"	"A"
"1100000"	"A"
"0101000"	"A"
"0001110"	"A"
"0001110"	"A"
"0010000"	"A"
"0010000"	"A"
"0010000"	"A"
"0010000"	"A"
"0010000"	"A"
"0001010"	"A"
"0001000"	"A"
"1111100"	"A"
"0001000"	"A"
"1111111"	"A"
"1011010"	"A"
"0001010"	"A"
"0001000"	"A"
"0001000"	"A"
"0001000"	"A"
"0001000"	"A"
"1110000"	"A"
"1000000"	"A"
"1100000"	"A"
"1001000"	"A"
"1100000"	"A"
"0001000"	"A"
"0001000"	"A"
"0001000"	"A"
"1000000"	"A"
"0001000"	"A"
"0001000"	"A"
"0001010"	"A"
"0001000"	"A"
"0001010"	"A"
"0001000"	"A"
"0001000"	"A"
"0001000"	"A"
"1101110"	"A"
"1111000"	"A"
"0001000"	"A"
"0001100"	"A"
"1110000"	"A"
"0000100"	"A"
"0000100"	"A"
"0000100"	"A"
"1111000"	"A"
"0000100"	"A"
"0000110"	"A"
"0000100"	"A"
"0000100"	"A"
"0000100"	"A"
"0000100"	"A"
"1111000"	"A"
"0001000"	"A"
"0000100"	"A"
"1111100"	"A"
"0000100"	"A"
"0000100"	"A"
"0000100"	"A"
"0000110"	"A"
"0000100"	"A"
"0000100"	"A"
"1000000"	"A"
"1000000"	"A"
"0000100"	"A"
"1100000"	"A"
"0000100"	"A"
"0000011"	"A"
"0000010"	"A"
"0000011"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000011"	"A"
"1000000"	"A"
"0000010"	"A"
"0000100"	"A"
"0000100"	"A"
"0000110"	"A"
"0000100"	"A"
"0000100"	"A"
"1000000"	"A"
"1111011"	"A"
"0000110"	"A"
"0000100"	"A"
"0000100"	"A"
"0000110"	"A"
"1100000"	"A"
"0000110"	"A"
"1000000"	"A"
"0000100"	"A"
"0000100"	"A"
"1100000"	"A"
"0000100"	"A"
"0000100"	"A"
"0000100"	"A"
"0000110"	"A"
"0000100"	"A"
"0000110"	"A"
"0000100"	"A"
"0000110"	"A"
"1000000"	"A"
"0000100"	"A"
"0000100"	"A"
"0000100"	"A"
"1000000"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000011"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000011"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000011"	"A"
"0000010"	"A"
"1100000"	"A"
"1000000"	"A"
"1111100"	"A"
"1110000"	"A"
"1000000"	"A"
"1100000"	"A"
"1000000"	"A"
"1000000"	"A"
"1000000"	"A"
"1000010"	"A"
"1000000"	"A"
"1100000"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000010"	"A"
"0000011"	"A"
"0000010"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"1000010"	"A"
"1110000"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0000001"	"A"
"0100000"	"A"
"1000000"	"A"
"1000000"	"A"
"1100000"	"A"
"1100000"	"A"
"0110000"	"A"
"1100000"	"A"
"1000000"	"A"
