"ch"	"Year"	"Day_of_Season"
"111000000000000000000000000"	"2010"	25
"011001000000000000000000000"	"2010"	25
"1100...0....00.0000000....."	"2010"	29
"1.1..0..000.000..00000.00.0"	"2010"	34
"1.1..0..000.000..00000.00.0"	"2010"	34
"1.1..0..000.000..00000.00.0"	"2010"	34
"1001001001.111............."	"2006"	56
"110000011.00000000000000000"	"2010"	3
"110000011.00000000000000000"	"2010"	3
"110000011.00000000000000000"	"2010"	3
"1100000000000000000000..0.."	"2010"	40
"1101010110100110101000..1.."	"2010"	40
"11.1100000.....0..........."	"2010"	41
"11.1111110.....0..........."	"2010"	41
"1001001001.111............."	"2006"	56
"1.000..00000.00.00...0....0"	"2010"	44
".110..10110.11.10...0....00"	"2010"	45
".110..10110.11.10...0....00"	"2010"	45
".100..00000.00.00...0....00"	"2010"	45
"11111.....0................"	"2010"	46
"11110.....0................"	"2010"	46
"01000000000000000..0..00..0"	"2010"	45
"01000000000000000..0..00..0"	"2010"	45
"110100000000..0..00..0....."	"2010"	50
"11000000000..0..00..0......"	"2010"	51
"11000000010..0..01..0......"	"2010"	51
"11000000000..0..00..0......"	"2010"	51
"111.00.00...0....00........"	"2010"	53
"100.00.00...0....00........"	"2010"	53
"111.00.00...0....00........"	"2010"	53
"111.01..000.01............."	"2010"	55
"111.01..000.01............."	"2010"	55
"111.00..000.00............."	"2010"	55
"110111110000.10110.0101.010"	"2011"	20
"11100101110010.00010.0101.0"	"2011"	18
"11100000000000.00000.0000.0"	"2011"	18
"01100000000000............."	"2006"	57
"111111001.10011.0101.110100"	"2011"	23
"11000000.00000.0000.000000."	"2011"	24
"10000000.00111.0101.000000."	"2011"	24
"10000000.00111.0101.000000."	"2011"	24
"110111110000.10111.0101.010"	"2011"	20
"0111110.11110.1010.110101.1"	"2011"	25
"0110000.00000.0000.000000.0"	"2011"	25
"01100000000000............."	"2006"	57
"111....1...1.1..1.1.1..11.1"	"2011"	29
"1111111..1.111.111.10010010"	"2011"	36
"111.0.0..0.0...0.0.00000000"	"2011"	36
"10.0101.010001.011.10.10000"	"2011"	36
"10.0000.000000.000.00.00000"	"2011"	36
"01100000000000............."	"2006"	57
"11.0000.000000.011.00.10000"	"2011"	36
"11.0100.000000.011.00.10000"	"2011"	36
"11.0.0..0.0...0.0.00000000."	"2011"	37
"11.0.0..0.0...0.0.00000000."	"2011"	37
"11.0.0..0.0...0.0.00000000."	"2011"	37
"1111111.010111.111.10.10010"	"2011"	36
"11000.000000.000.00.00000.0"	"2011"	38
"1110000000000.............."	"2006"	58
"010111.101.10.11010.0.1.1.."	"2011"	44
"11.1.11101001..10...1.1...."	"2011"	46
"1100000000000.............."	"2006"	58
"11111.111010011.10...1.1..."	"2011"	45
