"FirstFound"	"LastPresent"	"LastChecked"	"Fate"	"Freq"	"NestAge"	"Year"	"std_time"
"249"	16	42	42	0	1	-15	"2008"	-0.654918399
"250"	18	44	44	0	1	-16	"2008"	-0.504654912
"251"	41	66	66	0	1	-41	"2008"	0.647365155
"252"	17	26	30	1	1	-15	"2008"	-0.755094057
"253"	18	21	24	1	1	-17	"2008"	-0.654918399
"254"	19	29	32	1	1	-18	"2008"	-0.554742741
"255"	22	49	49	0	1	-21	"2008"	-0.254215767
"256"	29	34	37	1	1	-24	"2008"	-0.254215767
"257"	24	40	43	1	1	-23	"2008"	-0.304303596
"258"	24	52	52	0	1	-23	"2008"	-0.10395228
"259"	32	29	29	0	1	-4	"2008"	-1.306060177
"260"	32	56	56	0	1	-31	"2008"	0.146486865
"261"	4	34	34	0	1	-4	"2008"	-1.306060177
"262"	34	58	58	0	1	-33	"2008"	0.246662523
"263"	35	62	62	0	1	-37	"2008"	0.447013839
"264"	38	66	66	0	1	-32	"2008"	0.647365155
"265"	41	66	66	0	1	-41	"2008"	0.647365155
"266"	48	73	73	0	1	-48	"2008"	0.997979958
"267"	54	77	77	0	1	-52	"2008"	1.198331274
"268"	8	33	33	0	1	-8	"2008"	-1.10570886
"269"	8	28	28	0	1	-3	"2008"	-1.356148006
"270"	9	31	31	0	1	-6	"2008"	-1.205884519
"271"	9	30	30	0	1	-5	"2008"	-1.255972348
"272"	11	15	19	1	1	-10	"2008"	-1.005533202
"273"	12	41	44	1	1	-10	"2008"	-1.005533202
"274"	13	38	38	0	1	-13	"2008"	-0.855269715
"275"	6	8	10	1	1	-6	"2008"	-1.055621031
"276"	9	36	36	0	1	-8	"2008"	-0.955445373
"277"	14	14	16	1	1	-13	"2008"	-0.855269715
"278"	14	41	41	0	1	-13	"2008"	-0.705006228
"279"	15	30	32	1	1	-7	"2008"	-1.155796689
"280"	32	61	61	0	1	-31	"2008"	0.39692601
"281"	39	65	65	0	1	-38	"2008"	0.597277326
"282"	57	71	74	1	1	-52	"2008"	1.198331274
"283"	21	50	50	0	1	-20	"2008"	-0.204127938
"284"	57	75	79	1	1	-52	"2008"	1.198331274
"285"	27	57	57	0	1	-26	"2008"	0.196574694
"286"	27	36	39	1	1	-22	"2008"	-0.354391425
"287"	39	67	67	0	1	-39	"2008"	0.697452984
"288"	5	26	28	1	1	-4	"2008"	-1.306060177
"289"	5	23	23	0	1	3	"2008"	-1.606587151
"290"	5	21	21	0	1	5	"2008"	-1.706762809
"291"	6	23	23	0	1	3	"2008"	-1.606587151
"292"	7	21	24	1	1	-7	"2008"	-1.055621031
"293"	14	28	31	1	1	-13	"2008"	-0.855269715
"294"	16	36	39	1	1	-15	"2008"	-0.504654912
"295"	21	40	43	1	1	-20	"2008"	-0.454567083
"296"	37	62	62	0	1	-37	"2008"	0.447013839
"297"	39	64	64	0	1	-37	"2008"	0.447013839
"298"	40	69	69	0	1	-40	"2008"	0.797628642
"299"	43	66	66	0	1	-41	"2008"	0.647365155
"300"	49	74	77	1	1	-49	"2008"	1.048067787
"301"	51	77	77	0	1	-50	"2008"	1.198331274
"302"	52	79	79	0	1	-52	"2008"	1.198331274
"303"	45	71	71	0	1	-44	"2008"	0.797628642
"304"	6	8	10	1	1	-4	"2008"	-1.306060177
"305"	8	31	31	0	1	-4	"2008"	-1.205884519
"306"	55	70	73	1	1	-55	"2008"	1.348594761
"307"	57	74	77	1	1	-52	"2008"	1.198331274
"308"	72	75	77	1	1	-67	"2008"	1.949648709
"309"	53	73	77	1	1	-53	"2008"	1.248419103
"310"	53	70	70	0	1	-45	"2008"	0.847716471
"311"	54	73	76	1	1	-49	"2008"	1.048067787
